epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,29818.2,0.45531,0.93075,0.35242,0.81581,0.94826,0.76432,0.80629,0.77636,0.92854,0.75764,0.79915,0.7013,0.36729,0.70633,0.27011,0.78613,0.002278,0.002278,0.002278
41,30559.5,0.41235,0.88721,0.29773,0.7902,0.94858,0.76475,0.80712,0.77751,0.92867,0.75803,0.79999,0.70267,0.36351,0.70185,0.26764,0.7856,0.00208,0.00208,0.00208
42,31298.5,0.40371,0.87641,0.28923,0.78811,0.94893,0.76523,0.80805,0.77858,0.92792,0.75844,0.80053,0.70348,0.35988,0.6975,0.26518,0.78511,0.001882,0.001882,0.001882
43,32037.7,0.39543,0.8657,0.28137,0.788,0.94856,0.76568,0.80888,0.77966,0.92728,0.75867,0.80125,0.70438,0.35595,0.69266,0.26247,0.78454,0.001684,0.001684,0.001684
44,32776.5,0.38852,0.85483,0.2761,0.78608,0.94833,0.76638,0.80981,0.78069,0.92642,0.7594,0.80218,0.70539,0.3521,0.6882,0.25974,0.78398,0.001486,0.001486,0.001486
45,33515.5,0.38024,0.84086,0.26952,0.78458,0.94768,0.76715,0.81054,0.78154,0.9257,0.75982,0.80262,0.70599,0.34858,0.68324,0.25701,0.78345,0.001288,0.001288,0.001288
46,34254.3,0.37474,0.83657,0.26361,0.78381,0.94734,0.76759,0.81133,0.78262,0.9254,0.76007,0.80325,0.70682,0.34494,0.67839,0.25409,0.78291,0.00109,0.00109,0.00109
47,34992.9,0.36689,0.82388,0.25764,0.78261,0.94687,0.76831,0.81217,0.7836,0.92478,0.76061,0.80385,0.70758,0.3414,0.6736,0.25094,0.78236,0.000892,0.000892,0.000892
48,35732.4,0.35986,0.81274,0.25187,0.78164,0.9473,0.7689,0.81309,0.78467,0.92417,0.76101,0.80447,0.70823,0.33796,0.66867,0.2476,0.78179,0.000694,0.000694,0.000694
49,36471.1,0.35281,0.80479,0.24512,0.78022,0.9464,0.76947,0.81401,0.78549,0.92399,0.76129,0.80516,0.70898,0.33494,0.66402,0.24434,0.78127,0.000496,0.000496,0.000496
50,37209.5,0.34618,0.79553,0.23945,0.77914,0.94669,0.77003,0.81486,0.78631,0.9236,0.76188,0.80577,0.70965,0.33199,0.65929,0.24097,0.78073,0.000298,0.000298,0.000298
