epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,714.112,0.59594,0.62338,1.02738,0.85658,0.83648,0.90469,0.75454,0.68854,0.63785,1.09746,0.000146901,0.000146901,0.000146901
60,726.232,0.59728,0.61636,1.02038,0.89185,0.81475,0.91143,0.76698,0.67957,0.61235,1.08384,0.000143486,0.000143486,0.000143486
61,738.215,0.59822,0.61972,1.02378,0.85955,0.81644,0.89508,0.74823,0.68767,0.64321,1.08813,0.00014007,0.00014007,0.00014007
62,750.28,0.58794,0.60307,1.01514,0.85848,0.82577,0.90074,0.76312,0.67197,0.63406,1.08137,0.000136655,0.000136655,0.000136655
63,762.463,0.58602,0.59146,1.01444,0.88061,0.80835,0.89676,0.75814,0.67213,0.65135,1.08051,0.000133239,0.000133239,0.000133239
64,774.492,0.58398,0.59089,1.01536,0.86045,0.82434,0.90073,0.75915,0.67426,0.65169,1.08426,0.000129824,0.000129824,0.000129824
65,786.539,0.58575,0.59,1.01295,0.84096,0.84615,0.89845,0.75573,0.67521,0.63832,1.08042,0.000126408,0.000126408,0.000126408
66,798.614,0.58081,0.58667,1.01641,0.85602,0.83981,0.89987,0.75948,0.66817,0.62585,1.07953,0.000122992,0.000122992,0.000122992
67,810.678,0.57639,0.58089,1.01277,0.89421,0.81205,0.90291,0.761,0.66245,0.62864,1.07247,0.000119577,0.000119577,0.000119577
68,822.709,0.57877,0.58178,1.01177,0.89542,0.79942,0.90286,0.75992,0.6764,0.63399,1.07875,0.000116161,0.000116161,0.000116161
69,834.769,0.57526,0.56674,1.00935,0.85088,0.83003,0.89936,0.76003,0.67236,0.64137,1.07746,0.000112746,0.000112746,0.000112746
70,846.806,0.56739,0.557,1.00312,0.89324,0.81231,0.90121,0.76298,0.66269,0.62642,1.06467,0.000109331,0.000109331,0.000109331
71,858.879,0.56941,0.55921,1.00659,0.87862,0.81312,0.89365,0.75542,0.6699,0.6452,1.07717,0.000105915,0.000105915,0.000105915
72,871.002,0.56538,0.54475,0.99849,0.86999,0.8348,0.9077,0.7682,0.65641,0.61802,1.06507,0.0001025,0.0001025,0.0001025
73,883.036,0.56683,0.54734,1.0026,0.86204,0.82708,0.8989,0.76023,0.66757,0.63884,1.06891,9.9084e-05,9.9084e-05,9.9084e-05
74,895.061,0.56543,0.55101,1.00631,0.89986,0.81358,0.90745,0.77044,0.65868,0.6149,1.06789,9.56685e-05,9.56685e-05,9.56685e-05
75,907.233,0.55818,0.53923,0.9999,0.86921,0.8305,0.90471,0.76267,0.67507,0.61909,1.07869,9.2253e-05,9.2253e-05,9.2253e-05
76,919.298,0.56507,0.54111,1.00387,0.87761,0.82159,0.90062,0.76204,0.65684,0.62264,1.0718,8.88375e-05,8.88375e-05,8.88375e-05
77,931.364,0.55993,0.53867,0.99923,0.85506,0.83074,0.90181,0.76584,0.66335,0.61579,1.07249,8.5422e-05,8.5422e-05,8.5422e-05
78,943.502,0.55405,0.53284,0.99881,0.88818,0.81532,0.90346,0.77071,0.6602,0.61448,1.07311,8.20065e-05,8.20065e-05,8.20065e-05
79,955.563,0.55779,0.52813,0.99845,0.8956,0.80896,0.90609,0.77133,0.65594,0.6156,1.06229,7.8591e-05,7.8591e-05,7.8591e-05
80,967.6,0.55298,0.51514,0.99475,0.85803,0.85515,0.91008,0.77437,0.65941,0.60319,1.07199,7.51755e-05,7.51755e-05,7.51755e-05
81,979.795,0.54753,0.51345,0.99357,0.873,0.84184,0.90862,0.77067,0.66657,0.60855,1.07622,7.176e-05,7.176e-05,7.176e-05
82,991.825,0.55281,0.52137,0.99528,0.89349,0.81475,0.90264,0.76717,0.66833,0.61575,1.08172,6.83445e-05,6.83445e-05,6.83445e-05
