epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,102493,0.56442,1.06725,0.46319,0.83871,0.95587,0.75535,0.79441,0.76104,0.94418,0.75079,0.78944,0.6899,0.41411,0.78269,0.29391,0.79444,0.0092278,0.0092278,0.0092278
41,105938,0.56187,1.06581,0.46223,0.8374,0.95598,0.75545,0.7944,0.76147,0.94339,0.75078,0.78939,0.68976,0.41242,0.78072,0.29225,0.79401,0.009208,0.009208,0.009208
42,108926,0.56016,1.05794,0.45727,0.8373,0.95755,0.75549,0.79461,0.7618,0.94437,0.7509,0.78974,0.69032,0.41067,0.77888,0.29114,0.79372,0.0091882,0.0091882,0.0091882
43,112269,0.56108,1.06367,0.45941,0.83765,0.95709,0.75584,0.79481,0.76203,0.94335,0.75135,0.78964,0.69052,0.40855,0.77666,0.28978,0.79338,0.0091684,0.0091684,0.0091684
44,115366,0.55897,1.05746,0.45538,0.83704,0.95676,0.75619,0.7949,0.76263,0.94289,0.75161,0.78995,0.69068,0.40706,0.7748,0.28853,0.79307,0.0091486,0.0091486,0.0091486
45,118432,0.55616,1.05638,0.4552,0.83717,0.95744,0.75603,0.79528,0.76295,0.94285,0.75147,0.7902,0.69115,0.40568,0.773,0.28756,0.79281,0.0091288,0.0091288,0.0091288
46,121981,0.5577,1.05439,0.45526,0.8372,0.95629,0.75644,0.79522,0.76313,0.94182,0.75174,0.79015,0.69135,0.40488,0.77095,0.28716,0.79261,0.009109,0.009109,0.009109
47,125622,0.55577,1.05386,0.45307,0.83728,0.95801,0.75622,0.79518,0.76317,0.94251,0.75167,0.79014,0.69137,0.40364,0.7692,0.28658,0.79245,0.0090892,0.0090892,0.0090892
48,129312,0.55456,1.05308,0.45291,0.83636,0.95764,0.75642,0.79544,0.76351,0.94238,0.75169,0.79011,0.69119,0.40256,0.76787,0.28618,0.79229,0.0090694,0.0090694,0.0090694
49,132393,0.55515,1.0584,0.45419,0.8359,0.95861,0.75638,0.79551,0.76365,0.94234,0.75188,0.7902,0.69084,0.4015,0.76666,0.28583,0.7921,0.0090496,0.0090496,0.0090496
50,135491,0.55524,1.05279,0.45265,0.83663,0.95888,0.75642,0.79555,0.76383,0.94198,0.75225,0.79036,0.69075,0.40054,0.76531,0.28577,0.79193,0.0090298,0.0090298,0.0090298
51,139119,0.55471,1.05145,0.45358,0.836,0.95809,0.75678,0.79556,0.7639,0.94191,0.75224,0.79035,0.69058,0.39908,0.7639,0.28488,0.79179,0.00901,0.00901,0.00901
52,142527,0.55217,1.04914,0.44946,0.83545,0.95839,0.75684,0.79554,0.764,0.9416,0.75242,0.79023,0.69045,0.39778,0.76255,0.2831,0.79171,0.0089902,0.0089902,0.0089902
53,146029,0.55453,1.05405,0.45315,0.83649,0.95823,0.75718,0.7958,0.7643,0.94254,0.75236,0.79036,0.69061,0.39692,0.76139,0.28153,0.79152,0.0089704,0.0089704,0.0089704
