epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,56824.6,0.49972,0.99634,0.40907,0.82151,0.94742,0.7681,0.80473,0.77459,0.9238,0.75938,0.79528,0.69635,0.34297,0.69016,0.24443,0.78273,0.0083368,0.0083368,0.0083368
86,57495.1,0.49854,0.99445,0.40858,0.82098,0.94655,0.76834,0.80489,0.7746,0.92222,0.75978,0.7953,0.6967,0.34268,0.68962,0.24392,0.78268,0.008317,0.008317,0.008317
87,58174,0.49758,0.98842,0.40701,0.82179,0.9457,0.76834,0.80491,0.7747,0.92218,0.75971,0.7952,0.69652,0.34266,0.68879,0.24344,0.78268,0.0082972,0.0082972,0.0082972
88,58851.3,0.49694,0.9895,0.40787,0.82141,0.94657,0.76839,0.80511,0.77489,0.9208,0.75984,0.79549,0.69647,0.34221,0.68818,0.24252,0.78263,0.0082774,0.0082774,0.0082774
89,59524.1,0.49646,0.98982,0.40826,0.82065,0.9454,0.76847,0.80507,0.77492,0.91942,0.76018,0.79541,0.69659,0.34175,0.6876,0.24197,0.78259,0.0082576,0.0082576,0.0082576
90,60194.5,0.49725,0.99267,0.4047,0.82116,0.94466,0.7686,0.8053,0.77492,0.91964,0.76016,0.79555,0.69658,0.34142,0.6871,0.24174,0.78256,0.0082378,0.0082378,0.0082378
91,60859.2,0.49771,0.99374,0.40764,0.82098,0.94325,0.76893,0.80538,0.77509,0.92012,0.76042,0.79584,0.69677,0.34143,0.68669,0.24133,0.78254,0.008218,0.008218,0.008218
92,61544.8,0.49169,0.97881,0.40299,0.82032,0.9444,0.76888,0.80555,0.77517,0.91973,0.76041,0.79574,0.69688,0.34121,0.68611,0.2411,0.78254,0.0081982,0.0081982,0.0081982
93,62218.1,0.4959,0.98269,0.40316,0.82113,0.9437,0.76903,0.80554,0.7752,0.92011,0.76027,0.79573,0.69711,0.34095,0.68552,0.24085,0.7825,0.0081784,0.0081784,0.0081784
94,62903,0.49371,0.98474,0.40354,0.82059,0.94349,0.76931,0.80588,0.7755,0.92085,0.76004,0.79582,0.69753,0.34008,0.68442,0.24035,0.78246,0.0081586,0.0081586,0.0081586
95,63570.4,0.49424,0.98391,0.40366,0.8206,0.94361,0.76932,0.80594,0.77557,0.92136,0.75981,0.79558,0.69742,0.3398,0.68409,0.24013,0.78241,0.0081388,0.0081388,0.0081388
96,64249.9,0.49399,0.98792,0.40474,0.82085,0.94424,0.76939,0.80604,0.77561,0.92007,0.76013,0.79578,0.69753,0.33961,0.68355,0.23976,0.78239,0.008119,0.008119,0.008119
97,64909,0.49439,0.98817,0.40554,0.82111,0.94475,0.76908,0.8061,0.7758,0.92001,0.76019,0.79604,0.69797,0.33912,0.68297,0.23974,0.78239,0.0080992,0.0080992,0.0080992
98,65593.8,0.4937,0.98282,0.4019,0.82065,0.94438,0.76918,0.80616,0.77585,0.91979,0.75995,0.79612,0.69816,0.33909,0.68258,0.23974,0.78243,0.0080794,0.0080794,0.0080794
